Record ID,Business Name,Address,License Type,License Category,Expiration Date,Neighborhood,Council District,ZIP Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
BUS2024-00647,CARMEN'S AUTO GROUP LLC,5130 E Eight Mile,Second Hand Store License,SecondHandSales,2025-10-31,Farwell,3.0,48234,5130,E,Eight Mile,,13009093-103,288333,-83.0521125,42.447258,18,-9245318.87280567,5228213.7689866
BUS2012-00050,FORT CITGO INC,270 S Fort St,Gas Station License,GasStation,2025-08-31,Oakwood Heights,6.0,48217,270,S,Fort,St,20015315.,346850,-83.144646,42.289029,19,-9255619.65490699,5204373.39528506
BUS2024-00653,WOODWARD MARKET,19420 Woodward Ave,Retailer License,Retail,2025-08-31,Penrose,2.0,48203,19420,,Woodward,Ave,01009829.,50815,-83.117277,42.436107,20,-9252572.95176347,5226531.67792168
BUS2011-00091,FURAT INC.,20840 W Chicago St,Retailer License,Retail,2025-08-31,Franklin Park,7.0,48228,20840,W,Chicago,St,22004048-55,175566,-83.245482,42.364908,21,-9266844.66708062,5215798.59569618
BUS2024-00660,ZEBEE FISH & CHICKEN MARKET INC,8233 Livernois Ave,Restaurant License,FoodServices,2025-05-31,Midwest,6.0,48204,8233,,Livernois,Ave,16018285-6,350129,-83.138157,42.354963,22,-9254897.30273123,5214300.37891355
BUS2012-00074,,15201 W Seven Mile,Retailer License,Retail,2025-08-31,Winship,2.0,48235,15201,W,Seven Mile,,22016130-3,65369,-83.1964365,42.43032,23,-9261384.94699492,5225658.84629361
BUS2011-00559,"JAYVIN, INC.",1565 E Lafayette St,Restaurant License,FoodServices,2025-05-31,Lafayette Park,5.0,48207,1565,E,Lafayette,St,07000292.001,348451,-83.03238,42.338997,24,-9243122.26095359,5211895.59269861
BUS2024-00669,WAKE N BAKE TOBACCO N VAPE LLC,3511 Fort St,Retailer License,Retail,2025-08-31,Boynton,6.0,48217,3511,,Fort,St,20015159-68,81,-83.166327,42.26229,25,-9258033.17278688,5200350.5492324
BUS2012-00369,DOLLAR GENERAL ATTN: MARK HALL,12801 E Jefferson Ave,Retailer License,Retail,2025-08-31,Riverbend,4.0,48215,12801,E,Jefferson,Ave,21000558.,546707,-82.954988462364,42.37073621823,26,-9234507.07439224,5216676.72848012
BUS2011-00210,MOTOR CITY AUTO CONNECTION,20208 Conant St,Second Hand Store License,SecondHandSales,2025-10-31,Butler,3.0,48234,20208,,Conant,St,13025307-10,285223,-83.081241,42.443982,27,-9248561.44259324,5227719.56428342
BUS2011-00453,NATIONAL AGENTS INC,23220 Plymouth Rd,Second Hand Store License,SecondHandSales,2025-10-31,West Outer Drive,7.0,48239,23220,,Plymouth,Rd,22005533-41,172076,-83.266362,42.371802,28,-9269169.01804839,5216837.3177434
BUS2011-00063,"DOLLAR STORE OF DETROIT, INC.",662 Chene St,Retailer License,Retail,2025-08-31,Elmwood Park,5.0,48207,662,,Chene,St,11000119-21,348117,-83.023776,42.340428,29,-9242164.46805481,5212111.10386508
BUS2011-00532,G&R TOWING CORP.,22471 Grand River Ave,Second Hand Store License,SecondHandSales,2025-10-31,Oak Grove District 1,1.0,48219,22471,W,Grand River,Ave,22007505.,112727,-83.2637025,42.418575,30,-9268872.96386262,5223887.63945136
BUS2011-00541,EMPIRE AUTO INC,2940 E Eight Mile,Second Hand Store License,SecondHandSales,2025-10-31,Butler,3.0,48234,2940,E,Eight Mile, ,13009221-4,255166,-83.073177,42.446835,31,-9247663.76221949,5228149.95538779
BUS2011-00121,MIK TOBACCO LLC,19501 W Warren Ave,Retailer License,Retail,2025-08-31,Warrendale,7.0,48228,19501,W,Warren,Ave,22000340.,352860,-83.2318155,42.34293,32,-9265323.31925969,5212487.92133726
BUS2011-00152,"PAPA SAM'S FOOD & LIQUOR, INC.",14622 E Warren Ave,Retailer License,Retail,2025-08-31,Fox Creek,4.0,48215,14622,E,Warren,Ave,21002438-44,309782,-82.956154385096,42.396029533071,33,-9234636.86431707,5220488.59561784
BUS2011-00233,RIO ENTERPRISES INC,10993 Gratiot Ave,Restaurant License,FoodServices,2025-05-31,Gratiot-Findlay,4.0,48213,10993,,Gratiot,Ave,21028859-62,232814,-82.997154,42.406128,34,-9239200.92057091,5222010.92942164
BUS2011-00271,"HARDING MARKET, INC.",10501 E Warren Ave,Retailer License,Retail,2025-08-31,West End,4.0,48214,10501,E,Warren,Ave,21002664.,302058,-82.9922715,42.384276,35,-9238657.40315711,5218717.07069579
BUS2011-00445,GMB INVESTMENT LLC,15170 Gratiot Ave,Second Hand Store License,SecondHandSales,2025-10-31,Regent Park,3.0,48205,15170,,Gratiot,Ave,21028469-74,113539,-82.970064,42.446025,36,-9236185.27556532,5228027.76033731
BUS2012-00227,"HAYES LIQUOR BASKET, INC.",11002 Hayes St,Retailer License,Retail,2025-08-31,Outer Drive-Hayes,4.0,48213,11002,,Hayes,St,21056408-10,252135,-82.9644975,42.415947,37,-9235565.61561982,5223491.36886066
BUS2012-00231,"R A & E, INC AKA LUCKY 7",11050 Morang Dr,Retailer License,Retail,2025-08-31,Moross-Morang,4.0,48224,11050,,Morang,Dr,21076464-9,317024,-82.9421775,42.423354,38,-9233080.96458531,5224608.29736928
BUS2011-00079,"HANNA MARKET, INC",16146 Plymouth Rd,Retailer License,Retail,2025-08-31,Plymouth-I96,7.0,48227,16146,,Plymouth,Rd,22005891-3,352009,-83.2045455,42.372711,39,-9262287.63674576,5216974.28568493
BUS2011-00193,SAFE TIRE REPAIR INC.,20045 Conant St,Second Hand Store License,SecondHandSales,2025-10-31,Nolan,3.0,48234,20045,,Conant,St,09008475-8,286465,-83.080521,42.441984,40,-9248481.29255987,5227418.16640925
BUS2011-00239,ANTHONY & JOSEPH INC,14812 Livernois Ave,Retailer License,Retail,2025-08-30,Dexter-Fenkell,2.0,48238,14812,,Livernois,Ave,12013116-23,7042,-83.1397005,42.398541,41,-9255069.12436527,5220867.17386005
BUS2012-00221,FAMILY DOLLAR STORES OF MICHIGAN,14000 Telegraph Rd,Retailer License,Retail,2025-08-31,Eliza Howell,1.0,,14000,,Telegraph,Rd,22009303.,541589,-83.274843647738,42.386861407378,42,-9270113.19075567,5219106.72196946
BUS2011-00013,POPA'S AUTO SALES,8000 W Warren Ave,Second Hand Store License,SecondHandSales,2025-10-31,Midwest,6.0,48210,8000,W,Warren,Ave,18003575.,215863,-83.1470535,42.345045,43,-9255887.65658107,5212806.46578828
BUS2011-00459,,8710 W Vernor Hwy,Retailer License,Retail,2025-08-31,Springwells,6.0,48209,8710,W,Vernor,Hwy,20004283-4,49784,-83.1329595,42.309306,44,-9254318.71967784,5207425.18085616
BUS2011-00045,"VINNIE'S PARTY STORE, INC",19400 Plymouth Rd,Retailer License,Retail,2025-08-31,Weatherby,7.0,48228,19400,,Plymouth,Rd,22005679-83,215599,-83.2316715,42.372333,45,-9265307.28925302,5216917.32847838
BUS2011-00046,"A.E.A. PARTY STORE, INC.",20723 Plymouth Rd,Retailer License,Retail,2025-08-31,Franklin Park,7.0,48228,20723,,Plymouth,Rd,22005459-62,215572,-83.24424,42.371532,46,-9266706.40827306,5216796.63457826
BUS2011-00545,DIYAR GROUP INC,9101 Freeland St,Second Hand Store License,SecondHandSales,2025-10-31,We Care Community,7.0,48228,9101,,Freeland,St,22036458.002L,216223,-83.18394,42.36138,47,-9259993.84297822,5215267.07445778
BUS2011-00164,,16801 Schaefer Hwy,Retailer License,Retail,2025-08-31,Harmony Village,2.0,,16801,,Schaefer,Hwy,22030659-61,545601,-83.180061,42.414624,48,-9259562.03467343,5223291.88275851
BUS2011-00178,OGEEN K AUTO & TIRE RIM INC,20488 John R St,Second Hand Store License,SecondHandSales,2025-10-31,Nolan,3.0,48203,20488,,John R,St,09024522-9,278538,-83.102409,42.446295,49,-9250917.85357435,5228068.49184525
BUS2011-00238,PARKIE'S PARTY SHOPP,17255 Mack Ave,Restaurant License,FoodServices,2025-08-31,Cornerstone Village,4.0,48224,17255,,Mack,Ave,21001533.,333534,-82.920735,42.397209,50,-9230693.99640398,5220666.38644304
BUS2011-00291,FAMILY DOLLAR STORES OF MICHIGAN,10950 Gratiot Ave,Retailer License,Retail,2025-08-31,Wade,4.0,48213,10950,,Gratiot,Ave,21028836-48,232678,-82.996461,42.405777,51,-9239123.77616379,5221958.01241182
BUS2011-00394,SMYY INC,16611 W Warren Ave,Retailer License,Retail,2025-08-31,Warren Ave Community,7.0,48228,16611,W,Warren,Ave,22000171-4,214044,-83.208924,42.343209,52,-9262775.0491362,5212529.94148107
BUS2012-00275,WORLD WIDE AUTO INC,631 E State Fair St,Second Hand Store License,SecondHandSales,2025-10-31,Nolan,3.0,48203,631,E,State Fair,St,09008061-5,282705,-83.0975085,42.439932,53,-9250372.33240972,5227108.63265088
BUS2014-00023,AAKR INC,12278 Gratiot Ave,Retailer License,Retail,2025-08-31,Eden Gardens,4.0,48205,12278,,Gratiot,Ave,21028741-3,226309,-82.9900575,42.41556,54,-9238410.94180449,5223433.01534769
BUS2014-00144,ARANDAS TIRE SALES & REPAIR IV INC,2040 Livernois Ave,Second Hand Store License,SecondHandSales,2025-10-31,Central Southwest,6.0,48220,2040,,Livernois,Ave,16017031.,178050,-83.1087045,42.316425,55,-9251618.66542864,5208496.85758178
BUS2014-00159,CAPTAIN JAY'S INC #107,14205 Gratiot Ave,Restaurant License,FoodServices,2026-05-31,Franklin,3.0,48205,14205,,Gratiot,Ave,21029087-94,256508,-82.9790865,42.433659,56,-9237189.655671,5226162.44537582
BUS2014-00281,"GRANDY'S CONEY ISLAND, LLC",4004 E Outer Dr,Restaurant License,FoodServices,2025-05-31,Nortown,3.0,48234,4004,E,Outer,Dr,15005075-6,266188,-83.0338605,42.440616,57,-9243287.06945971,5227211.80944399
BUS2014-00305,WOODLAND STREET LLC,3921 2nd Ave,Restaurant License,FoodServices,2025-05-31,Midtown,6.0,48201,3921,,2nd,Ave,04003286-8,230025,-83.065005,42.347781,58,-9246754.05934072,5213218.5562108
BUS2014-00413,BATCH BREWING COMPANY LLC,1408 Porter St,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Corktown,6.0,48216,1408,,Porter,St,06000224-5,545756,-83.063367,42.328566,59,-9246571.7180148,5210324.81353742
BUS2014-00075,PURITAN LIQUOR STOP INC,16046 Puritan St,Retailer License,Retail,2025-08-31,Crary/St Marys,1.0,48227,16046,,Puritan,St,22012218.002,144794,-83.205288,42.408882,60,-9262370.29146768,5222426.13469732
BUS2014-00193,MIKE'S KABOB GRILL INC.,719 Griswold St,Restaurant License,FoodServices,2025-05-31,Downtown,6.0,48226,719,,Griswold,St,02000192.,38377,-83.0477655,42.33078,61,-9244834.96697919,5210658.1926853
BUS2014-00195,NEW DOLLAR MAX PLUS INC,15911 W Seven Mile,Retailer License,Retail,2025-08-31,College Park,2.0,48235,15911,W,Seven Mile,,22016209-10,68647,-83.204379,42.43014,62,-9262269.10205054,5225631.69885721
BUS2014-00248,FAMILY DOLLAR STORES OF MICHIGAN,15220 E Warren Ave,Retailer License,Retail,2025-08-31,Morningside,4.0,48224,15220,E,Warren,Ave,21002405.,546728,-82.950453,42.398199,63,-9234002.18903137,5220815.61992739
BUS2014-00232,DOLLAR GENERAL,10950 E Jefferson Ave,Retailer License,Retail,2025-08-31,Marina District,5.0,48214,10950,E,Jefferson,Ave,21000464-68,546702,-82.97361,42.364755,64,-9236580.01447967,5215775.5444111
BUS2014-00265,FRED'S FISH & CHICKEN LLC,13465 Schaefer Hwy,Restaurant License,FoodServices,2025-05-31,Grand River-I96,7.0,48227,13465,,Schaefer,Hwy,22030913-7,351213,-83.1789945,42.386859,65,-9259443.3124365,5219106.35914184
BUS2014-00390,CROWN 7 INC,18910 W Seven Mile,Retailer License,Retail,2025-08-31,O'Hair Park,1.0,48219,18910,W,Seven Mile,,22017004-7,117346,-83.227941,42.430167,66,-9264892.01189262,5225635.7709677
BUS2014-00186,TROLLEY PLAZA GARAGE LLC,1431 Washington Blvd,Parking Lot License,LPTV,2026-01-31,Downtown,6.0,48226,1431,,Washington,Blvd,02000294-7,10625,-83.0516985,42.334164,67,-9245272.78653648,5211167.77048151
BUS2014-00187,FERRIS PROPERTIES LLC,440 Madison St,Parking Lot License,LPTV,2026-01-31,Downtown,5.0,48226,440,,Madison,St,01000259-66,434351,-83.0449305,42.337341,68,-9244519.37622279,5211646.20225026
BUS2014-00190,ARANDAS TIRE REPAIR II INC,6228 W Vernor Hwy,Second Hand Store License,SecondHandSales,2025-10-31,Central Southwest,6.0,48209,6228,W,Vernor,Hwy,16000715-6,154155,-83.1090645,42.315885,69,-9251658.74044533,5208415.56306296
BUS2014-00286,"CONANT EXPRESS, INC.",19900 Conant St,Retailer License,Retail,2025-08-31,Butler,3.0,48234,19900,,Conant,St,13025249-53,287976,-83.0790045,42.440832,70,-9248312.47655208,5227244.39182319
BUS2014-00291,"BJCN, INC.",2906 W Grand Blvd,Retailer License,Retail,2025-08-31,New Center,5.0,48202,2906,W,Grand,Blvd,04001494.,335915,-83.080107,42.367275,71,-9248435.20629068,5216155.21978864
BUS2014-00325,R & K AUTO SERVICES LLC,15101 W Seven Mile,Second Hand Store License,SecondHandSales,2025-10-31,Winship,2.0,48235,15101,W,Seven Mile,,22016118-21,531494,-83.195271,42.430284,72,-9261255.2041284,5225653.4168001
BUS2014-00242,AMOURI'S GRAND FOODS INC,7225 E Jefferson Ave,Retailer License,Retail,2025-08-31,Islandview,5.0,48214,7225,E,Jefferson,Ave,15000058.,347551,-83.001294,42.347862,73,-9239661.78326279,5213230.75652956
BUS2014-00147,EL TACO VELOZ LLC,6170 Toledo St,Restaurant License,FoodServices,2026-05-31,Central Southwest,6.0,48209,6170,,Toledo,St,16001017.,178375,-83.1099195,42.319089,74,-9251753.91860996,5208897.92075106
BUS2014-00150,FAMILY DOLLAR STORES OF MICHIGAN LL,13433 W Eight Mile,Retailer License,Retail,2025-08-31,Blackstone Park,2.0,48235,13433,W,Eight Mile,,22018580-1,351210,-83.1795525,42.444936,75,-9259505.42871237,5227863.47837053
BUS2014-00233,DOLLAR GENERAL ATTN: MARK HALL,14611 W McNichols Rd,Retailer License,Retail,2025-08-31,Hubbell-Puritan,1.0,48235,14611,W,McNichols,Rd,22012872-81,351574,-83.190339,42.416181,76,-9260706.17639981,5223526.65255482
BUS2014-00304,6B'S INC,16200 E Warren Ave,Retailer License,Retail,2025-08-31,Morningside,4.0,48224,16200,E,Warren,Ave,21002348.,333642,-82.940562,42.401817,77,-9232901.12794794,5221361.02050487
BUS2014-00315,"KOEKO, INC.",4606 2nd Ave,Retailer License,Retail,2025-08-31,Midtown,6.0,,4606,,2nd,Ave,02002378.,545242,-83.0668545,42.352614,78,-9246959.94473894,5213946.53608
BUS2014-00404,SCHAEFER TIRE AND AUTO REPAIR INC,15120 Schaefer Hwy,Second Hand Store License,SecondHandSales,2025-10-31,Bethune Community,2.0,48227,15120,,Schaefer,Hwy,22029935-6,522801,-83.178747,42.401583,79,-9259415.76086253,5221325.74488943
BUS2014-00025,JONNAH INC,428 E Grand Blvd,Retailer License,Retail,2025-08-31,Islandview,5.0,48207,428,E,Grand,Blvd,15007566.,330408,-83.0067885,42.355665,80,-9240273.42820496,5214406.12761453
BUS2014-00191,ARANDAS TIRE REPAIR INC,1700 Springwells Ct,Second Hand Store License,SecondHandSales,2025-10-31,Delray,6.0,48209,1700,,Springwells,Ct,18000044.009,427541,-83.1089925,42.290127,81,-9251650.72544199,5204538.62437891
BUS2014-00222,"LYNCH PARTY STORE, INC.",10234 Van Dyke St,Retailer License,Retail,2025-08-31,Airport Sub,3.0,48234,10234,,Van Dyke,St,17009632-3,221110,-83.022759,42.404679,82,-9242051.25613267,5221792.479062
BUS2014-00138,"DETROIT SUB, INC.",3250 E Jefferson Ave,Restaurant License,FoodServices,2025-05-31,Rivertown,5.0,48207,3250,E,Jefferson,Ave,13000121-4,240142,-83.014272,42.341157,83,-9241106.48761431,5212220.89445827
BUS2015-00268,SAM'S AUTO REPAIR INC,14440 Tireman Ave,Second Hand Store License,SecondHandSales,2025-10-31,Joy-Schaefer,7.0,48228,14440,,Tireman,Ave,22001924-7,215932,-83.185335,42.351372,84,-9260149.13366788,5213759.45211038
BUS2015-00323,"BAGLEY STREET EATS, INC.",2545 Bagley St,Restaurant License,FoodServices,2025-05-31,Hubbard Richard,6.0,48216,2545,,Bagley,St,10007177-80,241411,-83.0776455,42.325407,85,-9248161.19336409,5209849.15872615
BUS2015-00069,"TRINOSOPHES, LLC",1464 Gratiot Ave,Restaurant License,FoodServices,2025-05-31,Lafayette Park,5.0,48207,1464,,Gratiot,Ave,07000775.,327779,-83.037636,42.344361,86,-9243707.3561972,5212703.44598489
BUS2015-00110,CLAY STREET ENTERTAINMENT LLC,1600 Clay St,Hall License,TheatreHallStadiumArena,2025-05-31,Russell Industrial,5.0,48211,1600,,Clay,St,07002606.000,283518,-83.060388,42.378462,87,-9246240.09725173,5217840.89118457
BUS2015-00330,D C SUPERSTORE INC,14501 W Seven Mile,Retailer License,Retail,2025-08-31,Winship,2.0,48235,14501,W,Seven Mile,,22016053-64,65907,-83.1891825,42.430446,88,-9260577.43540871,5225677.84954548
BUS2015-00029,"7 MILE EXPRESS, INC",10848 W Seven Mile,Retailer License,Retail,2026-08-31,McDowell,2.0,48221,10848,W,Seven Mile,,16008689-92,350686,-83.1702375,42.431517,89,-9258468.48765563,5225839.37872873
BUS2015-00150,BIG SAM AUTO  PARTS INC,14349 Meyers Rd,Second Hand Store License,SecondHandSales,2025-10-31,Happy Homes,7.0,48227,14349,,Meyers,Rd,22020454.002L,85797,-83.169243,42.393762,90,-9258357.78042203,5220146.80095249
BUS2015-00240,N & N Auto Repair Service LLC,11601 E McNichols Rd,Second Hand Store License,SecondHandSales,2025-10-31,Von Steuben,3.0,48205,11601,E,McNichols,Rd,21020160-1,202118,-83.00376,42.420375,91,-9239936.29712709,5224159.06724736
BUS2015-00327,DETROIT CUSTOM COLLISION LLC,12105 Harper Ave,Second Hand Store License,SecondHandSales,2025-10-31,Ravendale,4.0,48213,12105,,Harper,Ave,21004184-7,350882,-82.9830645,42.399567,92,-9237632.48460538,5221021.83734391
BUS2015-00353,MACK & BEWICK PROPERTY LLC,10300 Mack Ave,Retailer License,Retail,2025-08-31,East Village,5.0,48214,10300,,Mack,Ave,21001192-5,343814,-82.98840224882,42.374375179584,93,-9238226.680086,5217225.04907476
BUS2015-00199,EXOTIC AUTO SALES INC,642 S Fordson,Second Hand Store License,SecondHandSales,2025-10-31,Oakwood Heights,6.0,48217,642,S,Fordson,,20016847-85,514484,-83.1548475,42.291342,94,-9256755.28069232,5204721.46320858
BUS2015-00202,SWEET SOUL INC,13741 W McNichols Rd,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Harmony Village,2.0,48235,13741,W,McNichols,Rd,22012804-5,535369,-83.1817125,42.416316,95,-9259745.87881248,5223547.00859211
BUS2015-00272,"TOP CHINA ONE, INC",3157 Woodward Ave,Restaurant License,FoodServices,2025-05-31,Midtown,6.0,48201,3157,,Woodward,Ave,02001823.,329263,-83.056644,42.345,96,-9245823.3170782,5212799.68813519
BUS2015-00002,BAJOKA LIQUOR STORE INC,14050 Joseph Campau St,Retailer License,Retail,2025-08-31,North Campau,3.0,48212,14050,,Joseph Campau,St,09011350.,276612,-83.0721645,42.418395,97,-9247551.05123506,5223860.49710029
BUS2015-00107,DETROIT BLUES CAFE LLC,14493 Gratiot Ave,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Franklin,3.0,48205,14493,,Gratiot,Ave,21029112-3,546821,-82.9764405,42.437691,98,-9236895.10429836,5226770.6007843
BUS2015-00109,"ASHTON LIQUOR, INC.",17741 Schoolcraft St,Retailer License,Retail,2025-08-31,Schoolcraft Southfield,1.0,48223,17741,,Schoolcraft,St,22008831-4,254604,-83.21832,42.386355,99,-9263821.00707169,5219030.3991629
BUS2015-00274,DETROIT CITY DISTILLERY LLC,2462 Riopelle St,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Eastern Market,5.0,48207,2462,,Riopelle,St,07001965.,348708,-83.038095,42.346386,100,-9243758.45184348,5213008.44207674
BUS2015-00304,BEER WAGON LIQUOR INC,5412 W Warren Ave,Retailer License,Retail,2025-08-31,Midwest,6.0,48210,5412,W,Warren,Ave,16001917-9,215870,-83.1197565,42.344955,101,-9252848.96844089,5212792.91048695
BUS2015-00336,"BOBBY'S TCB TOWING SERVICE, INC.",10401 Lyndon St,Second Hand Store License,SecondHandSales,2025-10-31,Northwest Community,7.0,48238,10401,,Lyndon,St,16005903.056L,536747,-83.1637125,42.394851,102,-9257742.1279782,5220310.9488983
BUS2015-00046,EL CABRITO LLC,7621 Dix St,Hall License,TheatreHallStadiumArena,2025-05-31,Springwells,6.0,48209,7621,,Dix,St,18001466-9,540254,-83.1261825,42.316785,103,-9253564.30748873,5208551.05431519
BUS2015-00115,FIELD OF MARS LLC,500 Woodward Ave,Restaurant License,FoodServices,2025-05-31,Downtown,6.0,48226,500,,Woodward,Ave,01004087-96,294783,-83.044944,42.330078,104,-9244520.87903592,5210552.48583137
BUS2015-00176,POTBELLY SANDWICH WORKS LLC,777 Woodward Ave,Restaurant License,FoodServices,2025-05-31,Downtown,6.0,48226,777,,Woodward,Ave,02001893.002L,2745,-83.047464,42.33132,105,-9244801.40415272,5210739.50645266
BUS2015-00355,BUCHAREST GRILL,110 Piquette St,Restaurant License,FoodServices,2025-05-31,Medbury Park,5.0,48202,110,,Piquette,St,01001776-7,254501,-83.0686545,42.366987,106,-9247160.31982237,5216111.82754608
BUS2015-00113,"THE BUHL BAR, LLC",535 Griswold St,Cabaret ABC or Bar Class C License,NightClub,2025-05-31,Downtown,6.0,48226,535,,Griswold,St,02002016.,292400,-83.0469375,42.329439,107,-9244742.79444082,5210456.26651564
BUS2006-00143,"PARK RITE, INC.",401 GRATIOT,Parking Lot License,LPTV,2026-01-31,,5.0,,401,,Gratiot,Ave,,,-83.044695758873,42.335924772892,108,-9244493.24496007,5211432.92635298
BUS2006-01046,CAPTAIN JAY FISH AND CHICKEN #106,19041 Van Dyke St,Restaurant License,FoodServices,2026-05-31,Grant,3.0,48234,19041,,Van Dyke,St,15005330-1,352702,-83.02455,42.433587,109,-9242250.62934068,5226151.5858134
BUS2006-00026,COMPLETE AUTO RESOURCE INC,6860 E Davison St,Second Hand Store License,SecondHandSales,2025-10-31,Grant,3.0,48212,6860,E,Davison,St,15003754-5,283037,-83.030481,42.423246,110,-9242910.86524058,5224592.01070799
BUS2006-00040,"CENTRAL PARKING SYSTEM, INC",521 Atwater Dr,Parking Lot License,LPTV,2026-01-31,Downtown,5.0,48226,521,E,Atwater,Dr,03000001.004L,348014,-83.0376,42.329268,111,-9243703.34869553,5210430.51785045
BUS2006-00214,AMPCO SYSTEM PARKING,425 E Montcalm St,Parking Lot License,LPTV,2026-01-31,Downtown,5.0,48201,425,E,Montcalm,St,01000478-94,402406,-83.0475855,42.341166,112,-9244814.92947085,5212222.24990565
BUS2006-00216,AMPCO SYSTEM PARKING,2002 ST. ANTOINE,Parking Lot License,LPTV,2026-01-31,,5.0,,2002,,Saint Antoine,St,,,-83.043800386475,42.339995285202,113,-9244393.57256065,5212045.93572313
