OBJECTID,Council District,Neighborhood Number,Neighborhood Name,Neighborhoods Site URL
116,3,74,Von Steuben,https://theneighborhoods.org/neighborhoods/von-steuben
117,3,80,Buffalo Charles,https://theneighborhoods.org/neighborhoods/buffalo-charles
118,7,181,West Outer Drive,https://theneighborhoods.org/neighborhoods/west-outer-drive
119,7,206,Joy Community,https://theneighborhoods.org/neighborhoods/joy-community
120,7,185,Southfield Plymouth,https://theneighborhoods.org/neighborhoods/southfield-plymouth
121,7,188,Paveway,https://theneighborhoods.org/neighborhoods/paveway
122,7,189,Pride Area Community,https://theneighborhoods.org/neighborhoods/pride-area-community
123,7,191,Happy Homes,https://theneighborhoods.org/neighborhoods/happy-homes
124,7,192,Northwest Community,https://theneighborhoods.org/neighborhoods/northwest-community
125,7,198,Littlefield Community,https://theneighborhoods.org/neighborhoods/littlefield-community
126,7,202,We Care Community,https://theneighborhoods.org/neighborhoods/we-care-community
127,7,203,Fiskhorn,https://theneighborhoods.org/neighborhoods/fiskhorn
128,6,159,Midwest,https://theneighborhoods.org/neighborhoods/midwest
129,5,154,LaSalle Gardens,https://theneighborhoods.org/neighborhoods/lasalle-gardens
130,5,155,Wildemere Park,https://theneighborhoods.org/neighborhoods/wildemere-park
131,5,142,Tech Town,https://theneighborhoods.org/neighborhoods/tech-town
132,5,141,Medbury Park,https://theneighborhoods.org/neighborhoods/medbury-park
133,5,113,Russell Industrial,https://theneighborhoods.org/neighborhoods/russell-industrial
134,5,114,Milwaukee Junction,https://theneighborhoods.org/neighborhoods/milwaukee-junction
135,4,94,Yorkshire Woods,https://theneighborhoods.org/neighborhoods/yorkshire-woods
136,5,143,New Center,https://theneighborhoods.org/neighborhoods/new-center
137,6,166,Downtown,https://theneighborhoods.org/neighborhoods/downtown
138,4,95,Denby,https://theneighborhoods.org/neighborhoods/denby
139,6,165,Midtown,https://theneighborhoods.org/neighborhoods/midtown
140,6,163,Wayne State,https://theneighborhoods.org/neighborhoods/wayne-state
141,5,148,Historic Atkinson,https://theneighborhoods.org/neighborhoods/historic-atkinson
142,5,112,North End,https://theneighborhoods.org/neighborhoods/north-end
143,5,152,Elijah McCoy,https://theneighborhoods.org/neighborhoods/elijah-mccoy
144,5,109,Dexter-Linwood,https://theneighborhoods.org/neighborhoods/dexter-linwood
145,3,79,Davison,https://theneighborhoods.org/neighborhoods/davison
146,3,66,Farwell,https://theneighborhoods.org/neighborhoods/farwell
147,6,167,West Side Industrial,https://theneighborhoods.org/neighborhoods/west-side-industrial
148,5,121,Belle Isle,https://theneighborhoods.org/neighborhoods/belle-isle
149,5,117,Gratiot Woods,https://theneighborhoods.org/neighborhoods/gratiot-woods
150,7,190,Grand River-I96,https://theneighborhoods.org/neighborhoods/grand-river-i96
151,7,193,Davison-Schoolcraft,https://theneighborhoods.org/neighborhoods/davison-schoolcraft
152,2,54,Dexter-Fenkell,https://theneighborhoods.org/neighborhoods/dexter-fenkell
153,7,182,Rouge Park,https://theneighborhoods.org/neighborhoods/rouge-park
154,7,186,Plymouth-I96,https://theneighborhoods.org/neighborhoods/plymouth-i96
155,5,110,Gateway Community,https://theneighborhoods.org/neighborhoods/gateway-community
156,5,122,Waterworks Park,https://theneighborhoods.org/neighborhoods/waterworks-park
157,3,77,Grant,https://theneighborhoods.org/neighborhoods/grant
158,3,87,Greenfield Park,https://theneighborhoods.org/neighborhoods/greenfield-park
159,2,41,Garden Homes,https://theneighborhoods.org/neighborhoods/garden-homes
160,4,90,Mapleridge,https://theneighborhoods.org/neighborhoods/mapleridge
161,4,104,East Canfield,https://theneighborhoods.org/neighborhoods/east-canfield
162,4,108,Eden Gardens,https://theneighborhoods.org/neighborhoods/eden-gardens
163,4,107,Wade,https://theneighborhoods.org/neighborhoods/wade
164,4,106,Ravendale,https://theneighborhoods.org/neighborhoods/ravendale
165,4,89,Gratiot-Findlay,https://theneighborhoods.org/neighborhoods/gratiot-findlay
166,4,96,Outer Drive-Hayes,https://theneighborhoods.org/neighborhoods/outer-drive-hayes
167,4,91,Moross-Morang,https://theneighborhoods.org/neighborhoods/moross-morang
168,5,128,Gratiot-Grand,https://theneighborhoods.org/neighborhoods/gratiot-grand
169,4,98,Chandler Park-Chalmers,https://theneighborhoods.org/neighborhoods/chandler-park-chalmers
170,6,172,Mexicantown,https://theneighborhoods.org/neighborhoods/mexicantown
171,1,31,South of Six,https://theneighborhoods.org/neighborhoods/south-of-six
173,1,27,McNichols Evergreen,https://theneighborhoods.org/neighborhoods/mcnichols-evergreen
174,1,4,Melvern Hill,https://theneighborhoods.org/neighborhoods/melvern-hill
175,1,7,Evergreen Lahser 7/8,https://theneighborhoods.org/neighborhoods/evergreen-lahser-7-8
176,1,8,O'Hair Park,https://theneighborhoods.org/neighborhoods/ohair-park
177,1,11,Crary/St Marys,https://theneighborhoods.org/neighborhoods/crary/st-marys
178,1,17,Greenfield-Grand River,https://theneighborhoods.org/neighborhoods/greenfield-grand-river
179,1,15,Cadillac Community,https://theneighborhoods.org/neighborhoods/cadillac-community
180,1,2,Seven Mile-Rouge,https://theneighborhoods.org/neighborhoods/seven-mile-rouge
181,1,9,Evergreen-Outer Drive,https://theneighborhoods.org/neighborhoods/evergreen-outer-drive
182,1,6,Holcomb Community,https://theneighborhoods.org/neighborhoods/holcomb-community
183,1,12,Hubbell-Puritan,https://theneighborhoods.org/neighborhoods/hubbell-puritan
184,1,14,Hubbell-Lyndon,https://theneighborhoods.org/neighborhoods/hubbell-lyndon
185,1,18,Grand River-St Marys,https://theneighborhoods.org/neighborhoods/grand-river-st-marys
186,3,75,Mount Olivet,https://theneighborhoods.org/neighborhoods/mount-olivet
187,1,28,Miller Grove,https://theneighborhoods.org/neighborhoods/miller-grove
188,1,16,Schoolcraft Southfield,https://theneighborhoods.org/neighborhoods/schoolcraft-southfield
189,5,132,Greektown,https://theneighborhoods.org/neighborhoods/greektown
190,3,83,Cadillac Heights,https://theneighborhoods.org/neighborhoods/cadillac-heights
191,3,64,Butler,https://theneighborhoods.org/neighborhoods/butler
192,3,65,Pershing,https://theneighborhoods.org/neighborhoods/pershing
193,3,73,Franklin,https://theneighborhoods.org/neighborhoods/franklin
194,3,69,Conner Creek,https://theneighborhoods.org/neighborhoods/conner-creek
195,3,63,Nolan,https://theneighborhoods.org/neighborhoods/nolan
196,3,67,Sherwood,https://theneighborhoods.org/neighborhoods/sherwood
197,7,194,Chalfonte,https://theneighborhoods.org/neighborhoods/chalfonte
199,2,34,San Bernardo,https://theneighborhoods.org/neighborhoods/san-bernardo
200,2,35,Seven Mile Lodge,https://theneighborhoods.org/neighborhoods/seven-mile-lodge
201,2,40,McDowell,https://theneighborhoods.org/neighborhoods/mcdowell
202,2,39,Pembroke,https://theneighborhoods.org/neighborhoods/pembroke
204,2,57,Harmony Village,https://theneighborhoods.org/neighborhoods/harmony-village
205,2,56,Bethune Community,https://theneighborhoods.org/neighborhoods/bethune-community
206,4,99,Fox Creek,https://theneighborhoods.org/neighborhoods/fox-creek
210,5,209,Virginia Park Community,https://theneighborhoods.org/neighborhoods/virginia-park-community
214,1,30,Oak Grove District 1,https://theneighborhoods.org/neighborhoods/oak-grove
215,2,42,Oak Grove District 2,https://theneighborhoods.org/neighborhoods/oak-grove
